	Alphaproteobacteria	Deltaproteobacteria	Acidobacteria	Gemmatimonadetes	Bacteroidetes	Verrucomicrobia	Planctomycetes	Chloroflexi	Firmicutes	Actinobacteria	Gammaproteobacteria	Nitrospirae	Chytridiomycota	Leotiomycetes	Eurotiomycetes	Sordariomycetes	Dothideomycetes	Agaricomycetes	Tremellomycetes	Cercozoa	Ciliophora	Ochrophyta	Schizoplasmodiida	Tubulinea
M-19-1	0.188224198	0.033481541	0.159155214	0.18445163	0.058643223	0.012698733	0.012227162	0.081076529	0.029978442	0.063965238	0.117926435	0.005995688	0.905071967	0.258396162	0.013365319	0.303803975	0.303803975	0.01422207	0.001713502	0.691293655	0.054008854	0.058140679	0.006886375	0.010132809
M-20-1	0.141740771	0.085421719	0.228341417	0.080571275	0.029574239	0.017919698	0.014854487	0.047258151	0.028092158	0.065043115	0.186169496	0.008791431	0.499485949	0.043522961	0.016963674	0.397703907	0.018334476	0.008567512	0.082419465	0.160157403	0.047024102	0.07889818	0.00855878	0.010821446
M-21-1	0.164039342	0.058239019	0.185563191	0.081615468	0.045338184	0.016774454	0.019401778	0.059956885	0.010846133	0.110650768	0.185226354	0.007848289	0.796264565	0.046949966	0.205791638	0.416723783	0.05723098	0.055346127	0.003427005	0.208066896	0.112641417	0.034628628	0.006689621	0.006886375
M-22-1	0.171483428	0.047157101	0.175491781	0.071341956	0.035906764	0.011149286	0.016976556	0.111156023	0.012698733	0.149454325	0.147938561	0.011048235	0.627998629	0.030843043	0.065969842	0.476867718	0.043694311	0.037183002	0.002227553	0.339891786	0.052631579	0.077717659	0.001869159	0.058042302
M-23-1	0.13082727	0.075013473	0.193680949	0.067737807	0.036479386	0.02644166	0.015326058	0.063662086	0.008993533	0.099130962	0.212981676	0.011216653	0.740061686	0.019191227	0.053289925	0.579506511	0.023474983	0.038553804	0.007539411	0.242400394	0.078012789	0.071224791	0.021544515	0.004623709
M-24-1	0.122305309	0.05214228	0.169159256	0.108831851	0.026980598	0.01054298	0.0199744	0.119846403	0.009094584	0.120317974	0.172089733	0.010206144	0.736806032	0.006511309	0.048663468	0.582419465	0.079163811	0.096470185	0.002056203	0.477225775	0.115395967	0.02262666	0.009444171	0.023020167
M-25-1	0.06046214	0.019637564	0.146187012	0.03873619	0.03115737	0.006063056	0.006433576	0.062550525	0.067165185	0.103914039	0.421483428	0.005557801	0.961960247	0.287868403	0.130568883	0.517477724	0.021932831	0.001370802	0.002056203	0.393703886	0.266010821	0.065420561	0.027250369	0.014756517
R-1-1	0.08589329	0.132915656	0.173773915	0.039241444	0.022298572	0.005591485	0.010004042	0.118633791	0.025161681	0.112402317	0.204796551	0.018829157	0.440541467	0.122172721	0.004969157	0.238690884	0.052604524	0.077964359	0.120459219	0.379537629	0.232464338	0.102410231	0.007279882	0.008165273
R-2-1	0.065750472	0.061001078	0.180611695	0.046247642	0.00656831	0.012395581	0.005894638	0.115400162	0.010509297	0.289207761	0.119509566	0.029068984	0.161069225	0.056202879	0.012165867	0.063056888	0.018848526	0.015935572	0.003598355	0.599212986	0.161141171	0.100639449	0	0.00275455
R-3-1	0.130389383	0.062786311	0.133050391	0.054904338	0.01155349	0.004951496	0.007983023	0.08329965	0.012092428	0.330672326	0.101151981	0.017144974	0.863262509	0.041124058	0.044379712	0.441226868	0.160041124	0.011137766	0.020733379	0.303590753	0.386424004	0.027053615	0.001377275	0.008362027
R-4-1	0.108966586	0.078449205	0.175794934	0.040790892	0.012900835	0.007747238	0.013237672	0.111358124	0.017077607	0.162153058	0.194657774	0.01488817	0.873372173	0.027587389	0.009595613	0.687628513	0.036154901	0.011651816	0.032899246	0.418494835	0.041121495	0.095818987	0.00885391	0.003344811
R-5-1	0.09458367	0.102836163	0.144031258	0.034222582	0.041498248	0.006871463	0.016875505	0.152721638	0.013911345	0.072082996	0.251279978	0.015595527	0.531014393	0.084132968	0.001199452	0.27844414	0.070767649	0.051405072	0.019362577	0.511165765	0.079685194	0.084308903	0.003836695	0.002164289
R-6-1	0.125943142	0.080604958	0.153765831	0.030382646	0.030214228	0.004513608	0.018189167	0.100242522	0.026980598	0.167811911	0.172662355	0.013271355	0.870801919	0.025531186	0.010623715	0.387251542	0.433344757	0.020562029	0.001199452	0.379439252	0.120413182	0.03639941	0.000590261	0.004525332
R-7-1	0.087813258	0.091383724	0.117286446	0.018526004	0.086701698	0.008521962	0.015056589	0.13257882	0.013136621	0.039510914	0.328752358	0.016134465	0.425805346	0.025359836	0.00736806	0.34270048	0.044379712	0.136566141	0.014736121	0.490309887	0.045450074	0.18288244	0.001082145	0.001770782
R-8-1	0.088486931	0.13655349	0.114423336	0.0199744	0.026610078	0.010004042	0.0109135	0.155584748	0.022029103	0.072082996	0.238547561	0.050458098	0.706648389	0.29283756	0.012165867	0.261137766	0.093728581	0.102981494	0.045921864	0.23393999	0.178848992	0.079094934	0.006984752	0.002065912
R-9-1	0.084950148	0.122945298	0.144267044	0.025767987	0.033414174	0.010071409	0.00943142	0.168014012	0.018660738	0.089564807	0.205672326	0.025431151	0.702021933	0.038211103	0.054660727	0.501199452	0.087045922	0.045750514	0.034098698	0.316379734	0.22262666	0.051942941	0.007968519	0.007181505
R-10-1	0.102836163	0.049919159	0.128199946	0.063594718	0.058373754	0.005625168	0.032403665	0.097109943	0.055645379	0.143728106	0.188965238	0.011014551	0.762679918	0.069910898	0.025702536	0.606408499	0.010795065	0.003598355	0	0.589080177	0.104181013	0.035710772	0.004328578	0.002557796
R-11-1	0.14201024	0.135576664	0.150397467	0.033784694	0.017650229	0.010374562	0.022399623	0.108326597	0.019772299	0.068377796	0.188695769	0.051670709	0.362234407	0.029472241	0.009252913	0.211960247	0.088588074	0.047464016	0.005140507	0.317757009	0.125922282	0.106935563	0.032267585	0.001377275
R-12-1	0.119779035	0.101589868	0.215710051	0.018761789	0.017717596	0.010947184	0.035738345	0.154237402	0.018020749	0.059417947	0.177580167	0.029237402	0.820938999	0.084475668	0.018505826	0.531185744	0.159698424	0.016620973	0.004455106	0.361436301	0.069847516	0.036202656	0.0110182	0.008066896
R-13-1	0.0996699	0.152890057	0.189335759	0.020513339	0.021894368	0.008387227	0.032706818	0.111290757	0.022433306	0.066390461	0.176670709	0.050289679	0.780500343	0.073851953	0.037525703	0.522618232	0.108636052	0.043522961	0.009938314	0.330152484	0.054894245	0.041810133	0.011411707	0.004426955
R-14-1	0.140460792	0.127155753	0.122945298	0.024184856	0.034828887	0.0162692	0.031831043	0.134902991	0.022029103	0.076226085	0.178388575	0.044125573	0.626456477	0.041809459	0.072309801	0.452878684	0.03598355	0.048834818	0.005140507	0.234825381	0.066010821	0.034530251	0.015740285	0.001180521
R-15-1	0.082053355	0.216046888	0.100714093	0.015864996	0.011149286	0.005254648	0.007006198	0.156123686	0.013372406	0.065615737	0.222615198	0.053287524	0.819568197	0.006511309	0.029472241	0.585332419	0.108807402	0.090130226	0	0.251746188	0.142154452	0.049385145	0.012592228	0.003738318
R-16-1	0.121530585	0.052243331	0.182161143	0.024892212	0.006399892	0.009532471	0.012429264	0.125673673	0.057329561	0.191457828	0.156393155	0.015662894	0.755997258	0.020047978	0.051233722	0.54300891	0.09252913	0.003084304	0	0.29267093	0.127004427	0.016330546	0.002065912	0.006197737
R-17-1	0.114355969	0.077809216	0.07460927	0.00619779	0.041161412	0.004446241	0.055274859	0.16744139	0.096604689	0.087105901	0.228139316	0.022568041	0.686600411	0.055003427	0.061857437	0.373543523	0.124400274	0.094928033	0.0003427	0.274274471	0.099950812	0.020560748	0.015051648	0.001574029
R-18-1	0.120486392	0.047493937	0.152822689	0.030079493	0.02930477	0.007376718	0.109236055	0.1956346	0.035974131	0.13803557	0.093876314	0.007107249	0.569225497	0.041638108	0.158327622	0.260281014	0.067683345	0.026559287	0.008224812	0.25902607	0.029119528	0.028332514	0.032267585	0.003443187
R-19-1	0.159458367	0.068276745	0.167306656	0.046618162	0.036748855	0.017313393	0.066929399	0.075383994	0.037961466	0.096537321	0.151239558	0.018391269	0.417751885	0.006511309	0.122172721	0.190027416	0.095613434	0.046778615	0	0.467683227	0.108214461	0.027643876	0.009444171	0.000787014
R-20-1	0.115669631	0.102735112	0.164679332	0.029742657	0.018829157	0.005355699	0.016471302	0.09199003	0.02930477	0.109000269	0.220796281	0.026509027	0.643248801	0.040438657	0.010795065	0.3570939	0.023303633	0.060315284	0.001542152	0.310280374	0.047319233	0.046433842	0.003836695	0.000393507
R-21-1	0.122069523	0.071072487	0.149454325	0.045068715	0.01525869	0.016942873	0.01589868	0.149117489	0.016067098	0.195904069	0.152149016	0.015123956	0.33567512	0.025531186	0.020047978	0.199108979	0.051062371	0.070767649	0.000856751	0.303197245	0.150221348	0.064240039	0.006886375	0.005410723
R-22-1	0.11816222	0.081110213	0.152586904	0.040083535	0.022264888	0.00508623	0.016067098	0.067299919	0.034963622	0.221604689	0.197891404	0.013574508	0.602981494	0.02176148	0.017820425	0.473269363	0.07145305	0.262337217	0.002056203	0.39478603	0.063157895	0.090801771	0.001377275	0.000590261
R-23-1	0.117185395	0.120385341	0.154405821	0.032437348	0.020311237	0.006905147	0.054331717	0.131096739	0.018256535	0.112031797	0.144098626	0.033414174	0.724982865	0.101267992	0.039410555	0.433002056	0.042494859	0.033070596	0.045579164	0.154845057	0.046138711	0.016724053	0.004820462	0.002065912
R-24-1	0.122271625	0.097547831	0.174211803	0.041936136	0.039005659	0.005860954	0.014652385	0.097109943	0.01562921	0.136957693	0.17427917	0.02469011	0.472755312	0.037697053	0.00702536	0.374914325	0.030671693	0.054660727	0	0.576979833	0.019380226	0.039350713	0.001672405	0.001672405
R-25-1	0.092630019	0.158178389	0.16707087	0.021085961	0.029506871	0.004277823	0.013574508	0.093640528	0.028597413	0.110886553	0.18731474	0.042845594	0.845613434	0.342186429	0.011651816	0.434544208	0.036497601	0.035126799	0	0.272306936	0.151106739	0.047614363	0.008657157	0.001475652
