body_size	Ln_body_size	phylum	shannon	niche_width	group
1.2	0.182321557	Chloroflexi	6.993462323	22.8470147	P
4.85	1.578978705	Chytridiomycota	3.366064563	13.46962668	P
71.88846	4.275115751	Ciliophora	3.735369613	16.97432886	P
0.5	-0.693147181	Deltaproteobacteria	6.646629107	22.4510464	P
28.25	3.341093458	Dothideomycetes	2.503651733	14.39356179	P
18.34	2.909084467	Eurotiomycetes	2.09713975	10.86736541	P
3	1.098612289	Firmicutes	4.412238776	17.64777887	P
5	1.609437912	Gammaproteobacteria	7.107429272	23.66243263	P
0.5	-0.693147181	Gemmatimonadetes	5.774388497	23.10187463	P
12.46	2.522523513	Leotiomycetes	1.000974454	5.872859268	P
5	1.609437912	Nitrospirae	3.994674293	20.59543069	P
40.47907	3.70078505	Ochrophyta	3.990449896	15.61339474	P
1	0	Planctomycetes	5.080776869	19.52451957	P
11.875	2.47443535	Schizoplasmodiida	2.081048768	13.71593379	P
20.99	3.044046134	Sordariomycetes	3.41461286	21.05284852	P
8.82	2.17702187	Tremellomycetes	0.713751249	8.430002137	P
21.77412	3.080722109	Tubulinea	1.654553817	14.48386427	P
0.6	-0.510825624	Verrucomicrobia	4.027685857	18.18095255	P
0.5	-0.693147181	Acidobacteria	7.356876214	24.12360453	NP
4	1.386294361	Actinobacteria	7.146088967	20.94226761	NP
9.16	2.214846179	Agaricomycetes	2.156591272	13.64667916	NP
0.4	-0.916290732	Alphaproteobacteria	6.91428763	23.67910391	NP
0.5	-0.693147181	Bacteroidetes	4.756172432	17.82888855	NP
14.14	2.64900766	Cercozoa	5.559275509	22.4104086	NP
1.2	0.182321557	Chloroflexi	6.825497078	22.39226879	NP
4.85	1.578978705	Chytridiomycota	3.224954154	15.71364176	NP
71.88846	4.275115751	Ciliophora	3.239042826	14.94918208	NP
0.5	-0.693147181	Deltaproteobacteria	6.558233998	21.36744928	NP
28.25	3.341093458	Dothideomycetes	2.422118228	19.0165362	NP
18.34	2.909084467	Eurotiomycetes	2.030399905	10.33678911	NP
3	1.098612289	Firmicutes	4.680830153	13.26127577	NP
5	1.609437912	Gammaproteobacteria	6.851425674	22.30161798	NP
0.5	-0.693147181	Gemmatimonadetes	5.516814515	23.13437858	NP
12.46	2.522523513	Leotiomycetes	0.881202135	8.105098536	NP
5	1.609437912	Nitrospirae	3.811213992	20.3137595	NP
40.47907	3.70078505	Ochrophyta	3.826242164	18.0704394	NP
1	0	Planctomycetes	5.057779224	15.48346873	NP
11.875	2.47443535	Schizoplasmodiida	1.943978434	14.29141898	NP
20.99	3.044046134	Sordariomycetes	3.427782722	21.05071927	NP
8.82	2.17702187	Tremellomycetes	0.654659042	5.522450677	NP
21.77412	3.080722109	Tubulinea	1.565531644	13.40430476	NP
0.6	-0.510825624	Verrucomicrobia	3.62117241	18.03037323	NP
