phylum	ck	treatments	D_value	Body_size	Ln_body_size	group1	group2
Firmicutes	0.03411	0.2615	0.22739	3	1.098612289	A	addN
Actinobacteria	0.01011	0.1088	0.09869	4	1.386294361	A	addN
Chytridiomycota	0.004405	0.2041	0.199695	4.85	1.578978705	A	addN
Gammaproteobacteria	0.0348	0.08231	0.04751	5	1.609437912	A	addN
Nitrospirae	0.009237	0.1865	0.177263	5	1.609437912	A	addN
Tremellomycetes	0.02241	0.06867	0.04626	8.82	2.17702187	A	addN
Agaricomycetes	0.0219	0.1558	0.1339	9.16	2.214846179	A	addN
Schizoplasmodiida	0.1045	0.06125	-0.04325	11.88	2.474856314	B	addN
Leotiomycetes	0.1176	0.07367	-0.04393	12.46	2.522523513	B	addN
Cercozoa	0.06918	0.01531	-0.05387	14.14	2.64900766	B	addN
Eurotiomycetes	0.01727	0.1365	0.11923	18.34	2.909084467	A	addN
Sordariomycetes	0.06065	0.2441	0.18345	20.99	3.044046134	A	addN
Tubulinea	0.1383	0.1002	-0.0381	21.77	3.080532875	B	addN
Dothideomycetes	0.08723	0.1197	0.03247	28.25	3.341093458	A	addN
Ochrophyta	0.06726	0.07805	0.01079	40.48	3.700808025	A	addN
Ciliophora	-0.009229	0.04438	0.053609	71.89	4.275137173	A	addN
Alphaproteobacteria	0.01381	0.08638	0.07257	0.4	-0.916290732	A	addP
Deltaproteobacteria	0.02853	0.06102	0.03249	0.5	-0.693147181	A	addP
Acidobacteria	-0.002901	0.04209	0.044991	0.5	-0.693147181	A	addP
Gemmatimonadetes	0.02137	0.05557	0.0342	0.5	-0.693147181	A	addP
Bacteroidetes	0.01942	0.01391	-0.00551	0.5	-0.693147181	B	addP
Verrucomicrobia	0.007274	0.05114	0.043866	0.6	-0.510825624	A	addP
Planctomycetes	-0.01979	0.009728	0.029518	1	0	A	addP
Chloroflexi	-0.008945	0.0145	0.023445	1.2	0.182321557	A	addP
Firmicutes	0.03411	0.1721	0.13799	3	1.098612289	A	addP
Actinobacteria	0.01011	0.05521	0.0451	4	1.386294361	A	addP
Chytridiomycota	0.004405	0.001187	-0.003218	4.85	1.578978705	B	addP
Gammaproteobacteria	0.0348	0.03966	0.00486	5	1.609437912	A	addP
Nitrospirae	0.009237	0.06105	0.051813	5	1.609437912	A	addP
Tremellomycetes	0.02241	0.04076	0.01835	8.82	2.17702187	A	addP
Agaricomycetes	0.0219	0.1012	0.0793	9.16	2.214846179	A	addP
Schizoplasmodiida	0.1045	0.05356	-0.05094	11.88	2.474856314	B	addP
Leotiomycetes	0.1176	0.1046	-0.013	12.46	2.522523513	B	addP
Cercozoa	0.06918	0.03518	-0.034	14.14	2.64900766	B	addP
Eurotiomycetes	0.01727	0.1211	0.10383	18.34	2.909084467	A	addP
Sordariomycetes	0.06065	0.08924	0.02859	20.99	3.044046134	A	addP
Tubulinea	0.1383	0.06741	-0.07089	21.77	3.080532875	B	addP
Dothideomycetes	0.08723	0.05073	-0.0365	28.25	3.341093458	B	addP
Ochrophyta	0.06726	0.09991	0.03265	40.48	3.700808025	A	addP
Ciliophora	-0.009229	0.04005	0.049279	71.89	4.275137173	A	addP
Alphaproteobacteria	0.01381	0.09348	0.07967	0.4	-0.916290732	A	addNP
Deltaproteobacteria	0.02853	0.08878	0.06025	0.5	-0.693147181	A	addNP
Acidobacteria	-0.002901	0.1014	0.104301	0.5	-0.693147181	A	addNP
Gemmatimonadetes	0.02137	0.09479	0.07342	0.5	-0.693147181	A	addNP
Bacteroidetes	0.01942	0.108	0.08858	0.5	-0.693147181	A	addNP
Verrucomicrobia	0.007274	0.0291	0.021826	0.6	-0.510825624	A	addNP
Planctomycetes	-0.01979	0.03641	0.0562	1	0	A	addNP
Chloroflexi	-0.008945	0.06257	0.071515	1.2	0.182321557	A	addNP
Firmicutes	0.03411	0.1018	0.06769	3	1.098612289	A	addNP
Actinobacteria	0.01011	0.08286	0.07275	4	1.386294361	A	addNP
Chytridiomycota	0.004405	0.01907	0.014665	4.85	1.578978705	A	addNP
Gammaproteobacteria	0.0348	0.05786	0.02306	5	1.609437912	A	addNP
Nitrospirae	0.009237	0.1191	0.109863	5	1.609437912	A	addNP
Tremellomycetes	0.02241	-0.01876	-0.04117	8.82	2.17702187	B	addNP
Agaricomycetes	0.0219	-0.00848	-0.03038	9.16	2.214846179	B	addNP
Schizoplasmodiida	0.1045	0.03901	-0.06549	11.88	2.474856314	B	addNP
Leotiomycetes	0.1176	-0.03838	-0.15598	12.46	2.522523513	B	addNP
Cercozoa	0.06918	0.1152	0.04602	14.14	2.64900766	A	addNP
Eurotiomycetes	0.01727	0.006128	-0.011142	18.34	2.909084467	B	addNP
Sordariomycetes	0.06065	0.06346	0.00281	20.99	3.044046134	A	addNP
Tubulinea	0.1383	0.0326	-0.1057	21.77	3.080532875	B	addNP
Dothideomycetes	0.08723	-0.004882	-0.092112	28.25	3.341093458	B	addNP
Ochrophyta	0.06726	0.0567	-0.01056	40.48	3.700808025	B	addNP
Ciliophora	-0.009229	0.06436	0.073589	71.89	4.275137173	A	addNP
